event,action,frequency
OnCustomListEvent,ExecuteCustomEventWithCommit,1
OnCustomListEvent,DeleteBusinessObject,2
OnAfterCommit,SetValueByTable,5
OnCustomListEvent,ExecuteBusinessObjectFunction,3
OnAfterBusinessObjectPrint,ShellExecute,1
OnBeforeCommit,ShellExecute,4
OnCustomListEvent,SetValueByExpression,1
OnCreateNewObject,SearchInCsvFileAction,1
OnCustomEvent,CreateLoginToken,2
OnCreateNewObject,ValidateBusinessObject,2
OnAfterBusinessObjectPrint,SetValueByProperty,3
OnAfterCommit,DistanceCalculation,1
OnCustomListEvent,MultipleValueSetter,4
OnCustomListEvent,SendNotification,2
OnCustomListEvent,Return,2
OnBeforeCommit,CustomSourceCode,4
OnAfterCommit,DeleteBusinessObject,2
OnAfterCommit,CustomSourceCode,3
OnCreateNewObject,PrintAction,1
OnCustomListEvent,CreateBusinessObject,1
AfterReproduction,AfterReproduction,2
OnBeforeCommit,ValidateBusinessObject,2
OnAfterBusinessObjectPrint,CreateBusinessObject,1
AfterReproduction,SetValueByProperty,1
OnAfterCommit,ShellExecute,1
OnCustomEvent,Wait,4
OnCustomListEvent,Wait,2
